fā             [fa]           "láb; lép"
fānn           [fan]          "lépés"
foa            [faa]          "fordul"
fyī            [fi]           "szőr"
fidh           [fitha]
fei            [fii]          "puha"
fȳ             [fu]           "tojás"
wào            [fà]           "valaki gyereke"
fyái           [fá]           "pénisz"
fyy̌            [fì]           "dönt, választ"
fǐnn           [fìn]          "választott"
fìe            [fìi]          "visz, akar"
fyê            [fí]           "meleg"
féa            [fía]          "lélek, életerő"
féia           [fíia]         "meleg"
wuo            [fù]           "ürülék"
wúo            [fú]           "üt"
mā             [ma]           "kéz"
myī            [mi]           "hírnév, hatalom"
myào           [mà]           "jó"
mèo            [màu]          "elégedettség"
myǎng          [màng]         "igen"
myǎ            [màa]          "jóllakottság, béke"
mái            [má]           "család"
myy̌            [mì]           "porc"
mìa            [mìa]          "rugalmas"
myê            [mí]           "szopik; tej"
méi            [míi]          "testvér"
mū             [mu]           "valaki"
màu            [mù]           "nagy állat, úr, antróp"
mòi            [mùi]          "ragadozó"
mô             [mú]           "ül"
móu            [múu]          "tyúk"
nā             [na]           "öl"
ngā            [nga]          "hát"
ghānn          [ngan]         "hegy"
ghī            [ngi]          "alszik; gömb"
ghio           [ngiu]         "összetekeredik"
ghū            [ngu]          "béka"
ghào           [ngà]          "harap"
ái             [ngá]          "nyal"
ngy̌            [ngì]          "máj"
ngìa           [ngìa]         "finom"
ngǐnn          [ngìn]         "orvosság"
ngê            [ngí]          "*én"
éa             [ngía]         "én"
ngàu           [ngù]          "here"
ú              [ngú]          "ellenség"
úa             [ngúa]         "beteg"
ói             [ngúi]         "betegség"
nī             [ni]           "ki, elő"
nenn           [nini]         "vagina"
nū             [nu]           "szív"
nwia           [nuia]         "nagyszerű"
nul            [nura]         "mosolyog (dorombol)"
nào            [nà]           "észrevesz"
nǎ             [nàa]          "tud"
niào           [nài]
nǎnn           [nàn]          "lény"
nyái           [ná]           "anyám"
ny̌             [nì]           "eszik"
nigh           [nìxu]         "étel"
nyê            [ní]           "szürkület, hajnal"
nyéi           [níi]          "tér"
nyéa           [nía]          "horizont"
nàu            [nù]           "*patkány"
nōgh           [nùxu]         "vándorpatkány"
nyô            [nú]           "szül"
nyóa           [núa]          "új"
nyói           [núi]          "teremt"
qhā            [xa]           "vadászik"
qhī            [xi]           "esik (eső)"
qhìm           [ximù]         "zuhan"
qhio           [xiu]          "eső"
qhū            [xu]           "egér"
ghào           [xà]           "ki? mi?"
hái            [xá]           "fej"
hânn           [xán]          "homlok"
ghy̌            [xì]           "fut"
hê             [xí]           "ti"
ghàu           [xù]           "szag"
ghǔnn          [xùn]          "nyom"
qhǔ            [xùu]          "út"
húo            [xú]           "farok"
húdh           [xúthá]        "mögött"
lā             [ra]           "ugrik"
lī             [ri]           "*éjszaka"
līnn           [rin]          "éjszaka"
lū             [ru]           "*gödör"
lua            [rua]          "fekete"
lwia           [ruia]         "mély, sötét"
lūng           [rung]         "mély"
lūnn           [run]          "gödör"
rào            [rà]           "szexel"
rǎ             [ràa]          "szex"
rái            [rá]           "dolog, tárgy"
ryē            [ráa]          "föld, talaj"
réi            [rái]          "kő"
ryy̌            [rì]           "kígyó"
ryǐng          [rìng]         "gonosz, ijesztő"
ryê            [rí]           "hús"
rǔ             [rù]           "száj"
rúo            [rú]           "bél"
syā            [sa]           "fúj; harag"
syı            [si]           "bajusz"
syei           [sii]          "lát"
syıa           [sia]          "megjelenik"
zyū            [su]           "levél"
zyua           [sua]          "gyógynövény"
zyū            [suu]          "nő"
zyǎ            [sà]           "veréb; lélek"
syái           [sá]           "nappal"
syêa           [sáa]          "fény"
syânn          [sán]          "csillag"
syy̌            [sì]           "hideg"
zyìu           [sìu]          "kevés, szűkös"
zyìa           [sìa]          "hideg, halott"
syê            [sí]           "fél"
syéi           [síi]          "félelem"
syàu           [sù]           "pisil"
zyúo           [sú]           "szopik"
thā            [tha]          "karom"
thī            [thi]          "fióka"
thū            [thu]          "fa"
thǎ            [thà]          "mászik"
thái           [thá]          "nincs"
thy̌            [thì]          "hol?"
thê            [thí]          "orr"
thàu           [thù]          "nem"
thúo           [thú]          "test"
thúa           [thúa]         "válik valamilyenné"
mā             [wa]           "pocok"
mī             [wi]           "csont"
u              [wu]           "van"
ufy            [wufa]         "áll"
mào            [wà]           "megy"
mái            [wá]           "hall; fül"
wê             [wé]           "iszik"
my̌             [wì]           "rigó"
wê             [wí]           "víz"
ù              [wù]           "hal"
úo             [wú]           "fog"
yā             [ya]           "mond"
yoa            [yaa]          "beszél"
yī             [yi]           "szem"
yū             [yu]           "kacsa"
ywann          [yuan]         "lúd"
yào            [yà]           "tüzelő nő"
yái            [yá]           "nyúl"
yy̌             [yì]           "*gyerek"
yìann          [yìan]         "gyerek"
yǐnn           [yìn]          "kamasz gyerek"
yìu            [yìu]          "kicsi"
yê             [yí]           "vonul, megy valahova"
yéa            [yía]          "fehér"
yàu            [yù]           "vér"
yô             [yú]           "*férfi"
               []
ngā            [nnga]         "hát"
ngānn          [nngan]        "hegy"
ngī            [nngi]         "alszik; gömb"
ngio           [nngiu]        "összetekeredik"
íào            [ngí yà]       "én"
myǎ            [mu yà]        "ő G1f"
myô            [mu yú]        "ő G1m"
myy̌            [mu yì]        "ő G2"
mu̇yann        [mù yà na]     "ők"
nànn           [nà nà]        "gondolkodik, gondolat"
myànn          [mà nà]        "jó gondolat"
nàgh           [na ñà]        "nyak"
eméng          [ñímíñ]        "jóllakott, elégedett"
ghǎng          [ñàñ]          "nyitott száj"
qhānn          [xan]          "vadász, ember"
nımái          [ni má]        "szülőhely, fészek"
nàm            [nà wà]        "elmúlik;múlt"
yáng           [ya ngí]       "név"
fil            [fìra]         "küld"
ghil           [ñira]         "forog"
áinn           [ñá na]        "tiszta"
áing           [ñá ña]        "mosakszik"
wèo            [wàu]          "válni, lenni"
mùa            [mùa]
nèo            [nuà]          "észrevevés, látás"
yèo            [yuà]          "tekintet, nézés"
yéào           [yíà]          "Hold"
màe            [wài]          "forrás, kút, ér"
syel           [sá li]        "idő"
syány          [sá ní]        "hajnal"
míǎ            [mí yàa]       "nő"
fal            [faa ra]       "láb"
fyail          [fá ra]        "hegy, csúcs"
lu̇rái         [ru rá]        "padló"
fàm            [fawà]         "megyek"
mfàm           [mu fawà]      "megy G1-G2"
yıfàm          [yi fawà]      "megy G3"
mu̇fàm         [mù fawà]      "megy G4"
nəfàm          [na fawà]      "megy G5"
rəfàm          [rá fawà]      "megy G6"
mfáom          [mu faúwà]
yıfáom         [yi faúwà]
mu̇fáom        [mù faúwà]     "éppen megy G4"
nəfáom         [na faúwà]
rəfáom         [rá faúwà]
mfààm          [mu faàwà]
yıfààm         [yi faàwà]
mu̇fààm        [mù faàwà]     "elindul(t) G4"
nəfààm         [na faàwà]
rəfààm         [rá faàwà]
mnáo           [mu nàú]
yınáo          [yi nàú]
mu̇náo         [mù nàú]       "éppen gondolkodik G4"
nənáo          [na nàú]
rənáo          [rá nàú]
mnǎ            [mu nàà]
yınǎ           [yi nàà]
mu̇nǎ          [mù nàà]       "rágondol G4"
nənǎ           [na nàà]
rənǎ           [rá nàà]
fəmáth         [fawàthú]      "haladóvá válik > "
fəmàdh         [fawàthúa]     "megtetté válik > megtett (út)"
fəmath         [fawàthu]      "utazgatóvá válik"
nádh           [nàthú]        "érzékeltté válik > érzékelt"
nàdh           [nàthúa]       "észrevetté válik > észrevett"
nadh           [nàthu]        "észrevehető, érzékelhetővé válik "
nádh           [nathú]        "halottá válik válik > érzékelt"
nadh           [nathúa]       "megöltté válik > észrevett"
nadh           [nathu]        "halandóvá válik "
